CODI MESURAMENT,CODI EOI,PROVINCIA,CODI MUNICIPI,CODI ESTACIÓ,NOM ESTACIÓ,MUNICIPI,LATITUD,LONGITUD,ALTITUD,TIPUS ESTACIÓ,ÀREA URBANA,MAGNITUD,CONTAMINANT,UNITATS,PUNT MOSTREIG,ANY,MES,DIA,DATA,H01,V01,H02,V02,H03,V03,H04,V04,H05,V05,H06,V06,H07,V07,H08,V08,H09,V09,H10,V10,H11,V11,H12,V12,H13,V13,H14,V14,H15,V15,H16,V16,H17,V17,H18,V18,H19,V19,H20,V20,H21,V21,H22,V22,H23,V23,H24,V24,Georeferència
08015021_14_20200327,8015021,8,15,21,Badalona,Badalona,41.443985,2.2378986,7,background,urban,14,O3,µg/m3,08015021_14_6,2020,3,27,27/03/2020,56,V,44,V,53,V,41,V,34,V,41,V,40,V,41,V,39,V,41,V,51,V,51,V,71,V,80,V,86,V,84,V,93,V,93,V,77,V,59,V,58,V,53,V,47,V,48,V,
08015021_14_20200309,8015021,8,15,21,Badalona,Badalona,41.443985,2.2378986,7,background,urban,14,O3,µg/m3,08015021_14_6,2020,3,9,09/03/2020,3,V,3,V,6,V,10,V,16,V,20,V,16,V,5,V,9,V,17,V,26,V,51,V,56,V,62,V,61,V,75,V,84,V,84,V,80,V,75,V,72,V,64,V,56,V,48,V,
08015021_14_20200303,8015021,8,15,,,Badalona,41.443985,2.2378986,7,,,14,O3,µg/m3,08015021_14_6,2020,3,3,03/03/2020,66,V,67,V,69,V,68,V,64,V,59,V,47,V,37,V,38,V,40,V,48,V,55,V,66,V,65,V,66,V,58,V,57,V,47,V,53,V,44,V,34,V,45,V,31,V,37,V,
08015021_14_20200302,8015021,8,15,21,Badalona,Badalona,41.443985,2.2378986,7,background,urban,14,O3,µg/m3,08015021_14_6,2020,3,2,02/03/2020,25,V,16,V,30,V,65,V,67,V,67,V,63,V,53,V,49,V,62,V,67,V,79,V,77,V,75,V,77,V,80,V,77,V,72,V,68,V,65,V,61,V,64,V,67,V,67,V,"(41.443985, 2.2378986)"
08015021_14_20200324,8015021,8,15,21,Badalona,Badalona,41.443985,2.2378986,7,background,urban,14,O3,µg/m3,08015021_14_6,2020,3,24,24/03/2020,85,V,83,V,83,V,85,V,85,V,81,V,73,V,73,V,80,V,85,V,87,V,86,V,90,V,91,V,91,V,91,V,91,V,91,V,88,V,87,V,84,V,78,V,78,V,80,V,
08015021_14_20200323,8015021,8,15,21,Badalona,Badalona,41.443985,2.2378986,7,background,urban,14,O3,µg/m3,08015021_14_6,2020,3,23,23/03/2020,79,V,78,V,77,V,77,V,72,V,73,V,65,V,71,V,70,V,68,V,67,V,76,V,85,V,87,V,90,V,87,V,87,V,86,V,78,V,77,V,76,V,79,V,80,V,84,V,
08015021_14_20200322,8015021,8,15,21,Badalona,Badalona,41.443985,2.2378986,7,background,urban,14,O3,µg/m3,08015021_14_6,2020,3,22,22/03/2020,55,V,53,V,52,V,48,V,36,V,41,V,42,V,27,V,37,V,84,V,88,V,87,V,91,V,93,V,93,V,94,V,93,V,96,V,94,V,92,V,91,V,83,V,84,V,85,V,
08015021_14_20200321,8015021,8,15,21,Badalona,Badalona,41.443985,2.2378986,7,background,urban,14,O3,µg/m3,08015021_14_6,2020,3,21,21/03/2020,37,V,31,V,31,V,39,V,54,V,58,V,48,V,36,V,36,V,35,V,64,V,96,V,100,V,102,V,104,V,103,V,109,V,101,V,96,V,90,V,88,V,81,V,69,V,65,V,
08015021_14_20200320,8015021,8,15,21,Badalona,Badalona,41.443985,2.2378986,7,background,urban,14,O3,µg/m3,08015021_14_6,2020,3,20,20/03/2020,56,V,32,V,23,V,22,V,36,V,32,V,15,V,9,V,11,V,47,V,90,V,94,V,97,V,97,V,97,V,95,V,99,V,95,V,96,V,85,V,67,V,60,V,62,V,53,V,
08015021_14_20200330,8015021,8,15,21,Badalona,Badalona,41.443985,2.2378986,7,background,urban,14,O3,µg/m3,08015021_14_6,2020,3,30,30/03/2020,41,V,67,V,98,V,76,V,76,V,73,V,67,V,61,V,57,V,56,V,50,V,37,V,33,V,27,V,35,V,43,V,43,V,41,V,44,V,44,V,33,V,33,V,23,V,28,V,
